year,continent,country,party_tag,membership_1000,population_mln,survived,marxist
1982,Europe,Estonia,EKP,NA,1.498,1,1
1983,Europe,Estonia,EKP,NA,1.509,1,1
1984,Europe,Estonia,EKP,NA,1.519,1,1
1985,Europe,Estonia,EKP,NA,1.529,1,1
1986,Europe,Estonia,EKP,NA,1.54,1,1
1987,Europe,Estonia,EKP,NA,1.552,1,1
1988,Europe,Estonia,EKP,NA,1.562,1,1
1989,Europe,Estonia,EKP,NA,1.568,1,1
1945,Europe,Latvia,LKP,5,NA,1,1
1946,Europe,Latvia,LKP,11,1.553577,1,1
1947,Europe,Latvia,LKP,21,1.716773,1,1
1948,Europe,Latvia,LKP,28,1.856419,1,1
1949,Europe,Latvia,LKP,31,1.886792,1,1
1950,Europe,Latvia,LKP,34,1.884077,1,1
1951,Europe,Latvia,LKP,37,1.889974,1,1
1952,Europe,Latvia,LKP,40,1.898577,1,1
1953,Europe,Latvia,LKP,42,1.912837,1,1
1954,Europe,Latvia,LKP,43,1.939138,1,1
1955,Europe,Latvia,LKP,45,1.966567,1,1
1956,Europe,Latvia,LKP,48,1.995354,1,1
1957,Europe,Latvia,LKP,54,2.040978,1,1
1958,Europe,Latvia,LKP,57,2.066368,1,1
1959,Europe,Latvia,LKP,61,2.079948,1,1
1960,Europe,Latvia,LKP,66,2.104128,1,1
1961,Europe,Latvia,LKP,72,2.13783,1,1
1962,Europe,Latvia,LKP,78,2.167531,1,1
1963,Europe,Latvia,LKP,82,2.19564,1,1
1964,Europe,Latvia,LKP,88,2.226198,1,1
1965,Europe,Latvia,LKP,96,2.255048,1,1
1966,Europe,Latvia,LKP,100,2.276789,1,1
1967,Europe,Latvia,LKP,107,2.289645,1,1
1968,Europe,Latvia,LKP,112,2.312795,1,1
1969,Europe,Latvia,LKP,116,2.334443,1,1
1970,Europe,Latvia,LKP,122,2.351903,1,1
1971,Europe,Latvia,LKP,128,2.366424,1,1
1972,Europe,Latvia,LKP,131,2.386353,1,1
1973,Europe,Latvia,LKP,134,2.404995,1,1
1974,Europe,Latvia,LKP,137,2.426642,1,1
1975,Europe,Latvia,LKP,140,2.44773,1,1
1976,Europe,Latvia,LKP,143,2.464529,1,1
1977,Europe,Latvia,LKP,147,2.477449,1,1
1978,Europe,Latvia,LKP,150,2.492697,1,1
1979,Europe,Latvia,LKP,154,2.503145,1,1
1980,Europe,Latvia,LKP,158,2.508761,1,1
1981,Europe,Latvia,LKP,160,2.51464,1,1
1982,Europe,Latvia,LKP,162,2.524202,1,1
1983,Europe,Latvia,LKP,165,2.537958,1,1
1984,Europe,Latvia,LKP,167,2.554063,1,1
1985,Europe,Latvia,LKP,169,2.57003,1,1
1986,Europe,Latvia,LKP,172,2.587716,1,1
1987,Europe,Latvia,LKP,NA,2.612068,1,1
1988,Europe,Latvia,LKP,NA,2.641097,1,1
1989,Europe,Latvia,LKP,NA,2.66577,1,1
1986,Asia,Malaysia,UMNO,1327,16.329,2,0
1987,Asia,Malaysia,UMNO,1286,16.773,2,0
1988,Asia,Malaysia,UMNO,1055,17.219,2,0
1989,Asia,Malaysia,UMNO,1066,17.662,2,0
1990,Asia,Malaysia,UMNO,1233,18.102,2,0
1991,Asia,Malaysia,UMNO,1400,18.547,2,0
1992,Asia,Malaysia,UMNO,1567,19.067,2,0
1993,Asia,Malaysia,UMNO,1734,19.601,2,0
1994,Asia,Malaysia,UMNO,1900,20.142,2,0
1995,Asia,Malaysia,UMNO,2288,20.682,2,0
1996,Asia,Malaysia,UMNO,2700,21.223,2,0
1997,Asia,Malaysia,UMNO,NA,21.769,2,0
1998,Asia,Malaysia,UMNO,NA,22.333,2,0
1999,Asia,Malaysia,UMNO,NA,22.909,2,0
2000,Asia,Malaysia,UMNO,NA,23.495,2,0
2001,Asia,Malaysia,UMNO,NA,24.03,2,0
2002,Asia,Malaysia,UMNO,NA,24.542,2,0
2003,Asia,Malaysia,UMNO,NA,25.038,2,0
2004,Asia,Malaysia,UMNO,2400,25.541,2,0
2005,Asia,Malaysia,UMNO,3000,26.045,2,0
2006,Asia,Malaysia,UMNO,3560,26.55,2,0
2007,Asia,Malaysia,UMNO,3300,27.058,2,0
2008,Asia,Malaysia,UMNO,2700,27.568,2,0
2009,Asia,Malaysia,UMNO,2846,28.081,2,0
2010,Asia,Malaysia,UMNO,2992,28.589,2,0
2011,Asia,Malaysia,UMNO,3139,29.062,2,0
2012,Asia,Malaysia,UMNO,3285,29.51,2,0
2013,Asia,Malaysia,UMNO,3431,30.214,2,0
2014,Asia,Malaysia,UMNO,3375,30.708,2,0
2015,Asia,Malaysia,UMNO,3250,31.186,2,0
2016,Asia,Malaysia,UMNO,3200,31.633,2,0
2017,Asia,Malaysia,UMNO,3644,32.023,2,0
2018,Asia,Malaysia,UMNO,3500,32.382,2,0
2019,Asia,Malaysia,UMNO,3292,32.523,2,0
1987,America_L,Paraguay,COLORADO,1334,3.892,1,0
1988,America_L,Paraguay,COLORADO,1400,4.002,1,0
1989,America_L,Paraguay,COLORADO,1400,4.112,1,0
1990,America_L,Paraguay,COLORADO,1500,4.223,1,0
1991,America_L,Paraguay,COLORADO,948,4.334,1,0
1992,America_L,Paraguay,COLORADO,NA,4.445,1,0
1993,America_L,Paraguay,COLORADO,NA,4.555,1,0
1994,America_L,Paraguay,COLORADO,NA,4.666,1,0
1995,America_L,Paraguay,COLORADO,NA,4.777,1,0
1996,America_L,Paraguay,COLORADO,NA,4.888,1,0
1997,America_L,Paraguay,COLORADO,NA,4.998,1,0
1998,America_L,Paraguay,COLORADO,NA,5.108,1,0
1999,America_L,Paraguay,COLORADO,1000,5.216,1,0
2000,America_L,Paraguay,COLORADO,1100,5.323,1,0
2001,America_L,Paraguay,COLORADO,1200,5.428,1,0
2002,America_L,Paraguay,COLORADO,1350,5.532,1,0
2003,America_L,Paraguay,COLORADO,1500,5.633,1,0
2004,America_L,Paraguay,COLORADO,1550,5.73,1,0
2005,America_L,Paraguay,COLORADO,1500,5.824,1,0
2006,America_L,Paraguay,COLORADO,1600,5.913,1,0
2007,America_L,Paraguay,COLORADO,1660,5.998,1,0
2008,America_L,Paraguay,COLORADO,1700,6.081,1,0
2009,America_L,Paraguay,COLORADO,1760,6.164,1,0
2010,America_L,Paraguay,COLORADO,1840,6.248,1,0
2011,America_L,Paraguay,COLORADO,1900,6.334,1,0
2012,America_L,Paraguay,COLORADO,1989,6.421,1,0
2013,America_L,Paraguay,COLORADO,2000,6.51,1,0
2014,America_L,Paraguay,COLORADO,2100,6.599,1,0
2015,America_L,Paraguay,COLORADO,2200,6.689,1,0
2016,America_L,Paraguay,COLORADO,2309,6.778,1,0
2017,America_L,Paraguay,COLORADO,2306,6.867,1,0
2018,America_L,Paraguay,COLORADO,2406,6.956,1,0
2019,America_L,Paraguay,COLORADO,2500,7.045,1,0
2020,America_L,Paraguay,COLORADO,2648,7.134,1,0
2001,MENA,Turkey,AKP,NA,64.192,1,0
2002,MENA,Turkey,AKP,NA,65.145,1,0
2003,MENA,Turkey,AKP,NA,66.089,1,0
2004,MENA,Turkey,AKP,1834,67.011,1,0
2005,MENA,Turkey,AKP,NA,67.903,1,0
2006,MENA,Turkey,AKP,NA,68.757,1,0
2007,MENA,Turkey,AKP,NA,69.582,1,0
2008,MENA,Turkey,AKP,3689,70.419,1,0
2009,MENA,Turkey,AKP,NA,71.321,1,0
2010,MENA,Turkey,AKP,NA,72.327,1,0
2011,MENA,Turkey,AKP,NA,73.444,1,0
2012,MENA,Turkey,AKP,7551,74.653,1,0
2013,MENA,Turkey,AKP,8084,75.928,1,0
2014,MENA,Turkey,AKP,8700,77.232,1,0
2015,MENA,Turkey,AKP,9400,78.529,1,0
2016,MENA,Turkey,AKP,9369,79.822,1,0
2017,MENA,Turkey,AKP,9949,81.102,1,0
2018,MENA,Turkey,AKP,10337,82.32,1,0
2019,MENA,Turkey,AKP,10196,83.43,1,0
2020,MENA,Turkey,AKP,10592,83.6,1,0
1958,America_L,Mexico,PRI,4761,36.253,1,0
1959,America_L,Mexico,PRI,4000,37.448,1,0
1960,America_L,Mexico,PRI,3519,37.772,1,0
1961,America_L,Mexico,PRI,4500,38.966,1,0
1962,America_L,Mexico,PRI,5500,40.195,1,0
1963,America_L,Mexico,PRI,6600,41.462,1,0
1964,America_L,Mexico,PRI,6621,42.771,1,0
1965,America_L,Mexico,PRI,7517,44.124,1,0
1966,America_L,Mexico,PRI,8413,45.52,1,0
1967,America_L,Mexico,PRI,9309,46.956,1,0
1968,America_L,Mexico,PRI,10205,48.432,1,0
1969,America_L,Mexico,PRI,11101,49.945,1,0
1970,America_L,Mexico,PRI,12000,51.494,1,0
1971,America_L,Mexico,PRI,11000,53.076,1,0
1972,America_L,Mexico,PRI,9000,54.69,1,0
1973,America_L,Mexico,PRI,8000,56.324,1,0
1974,America_L,Mexico,PRI,10000,57.967,1,0
1975,America_L,Mexico,PRI,12000,59.608,1,0
1976,America_L,Mexico,PRI,14000,61.242,1,0
1977,America_L,Mexico,PRI,13500,62.87,1,0
1978,America_L,Mexico,PRI,13000,64.495,1,0
1979,America_L,Mexico,PRI,13252,66.124,1,0
1980,America_L,Mexico,PRI,13780,67.761,1,0
1981,America_L,Mexico,PRI,14308,69.408,1,0
1982,America_L,Mexico,PRI,14836,71.059,1,0
1983,America_L,Mexico,PRI,15364,72.709,1,0
1984,America_L,Mexico,PRI,15900,74.353,1,0
1985,America_L,Mexico,PRI,15758,75.983,1,0
1986,America_L,Mexico,PRI,12000,77.599,1,0
1987,America_L,Mexico,PRI,10000,79.2,1,0
1988,America_L,Mexico,PRI,8000,80.789,1,0
1989,America_L,Mexico,PRI,8250,82.369,1,0
1990,America_L,Mexico,PRI,8500,83.943,1,0
1991,America_L,Mexico,PRI,13000,85.513,1,0
1975,Africa,Mozambique,FRELIMO,15,10.165,2,1
1976,Africa,Mozambique,FRELIMO,22,10.444,2,1
1977,Africa,Mozambique,FRELIMO,30,10.738,2,1
1978,Africa,Mozambique,FRELIMO,35,11.041,2,1
1979,Africa,Mozambique,FRELIMO,48,11.341,2,1
1980,Africa,Mozambique,FRELIMO,61,11.63,2,1
1981,Africa,Mozambique,FRELIMO,74,11.913,2,1
1982,Africa,Mozambique,FRELIMO,100,12.19,2,1
1983,Africa,Mozambique,FRELIMO,110,12.44,2,1
1984,Africa,Mozambique,FRELIMO,125,12.636,2,1
1985,Africa,Mozambique,FRELIMO,140,12.764,2,1
1986,Africa,Mozambique,FRELIMO,155,12.808,2,1
1987,Africa,Mozambique,FRELIMO,170,12.786,2,1
1988,Africa,Mozambique,FRELIMO,185,12.758,2,1
1989,Africa,Mozambique,FRELIMO,201,12.806,2,1
1990,Africa,Mozambique,FRELIMO,350,12.987,2,1
1991,Africa,Mozambique,FRELIMO,500,13.328,2,1
1992,Africa,Mozambique,FRELIMO,582,13.806,2,1
1993,Africa,Mozambique,FRELIMO,664,14.371,2,1
1994,Africa,Mozambique,FRELIMO,746,14.948,2,1
1995,Africa,Mozambique,FRELIMO,828,15.483,2,1
1996,Africa,Mozambique,FRELIMO,910,15.96,2,1
1997,Africa,Mozambique,FRELIMO,992,16.397,2,1
1998,Africa,Mozambique,FRELIMO,1074,16.814,2,1
1999,Africa,Mozambique,FRELIMO,1156,17.244,2,1
2000,Africa,Mozambique,FRELIMO,1238,17.712,2,1
2001,Africa,Mozambique,FRELIMO,1320,18.222,2,1
2002,Africa,Mozambique,FRELIMO,1400,18.764,2,1
2003,Africa,Mozambique,FRELIMO,1483,19.331,2,1
2004,Africa,Mozambique,FRELIMO,1700,19.91,2,1
2005,Africa,Mozambique,FRELIMO,1900,20.494,2,1
2006,Africa,Mozambique,FRELIMO,2150,21.08,2,1
2007,Africa,Mozambique,FRELIMO,2350,21.673,2,1
2008,Africa,Mozambique,FRELIMO,2600,22.277,2,1
2009,Africa,Mozambique,FRELIMO,3000,22.895,2,1
2010,Africa,Mozambique,FRELIMO,NA,23.532,2,1
2011,Africa,Mozambique,FRELIMO,NA,24.187,2,1
2012,Africa,Mozambique,FRELIMO,NA,24.863,2,1
2013,Africa,Mozambique,FRELIMO,NA,25.561,2,1
2014,Africa,Mozambique,FRELIMO,NA,26.286,2,1
2015,Africa,Mozambique,FRELIMO,NA,27.042,2,1
2016,Africa,Mozambique,FRELIMO,NA,27.83,2,1
2017,Africa,Mozambique,FRELIMO,NA,28.649,2,1
2018,Africa,Mozambique,FRELIMO,NA,29.496,2,1
2019,Africa,Mozambique,FRELIMO,NA,30.366,2,1
1977,Africa,Angola,MPLA,110,7.534,2,1
1978,Africa,Angola,MPLA,20,7.791,2,1
1979,Africa,Angola,MPLA,16.5,8.058,2,1
1980,Africa,Angola,MPLA,21,8.341,2,1
1981,Africa,Angola,MPLA,26,8.64,2,1
1982,Africa,Angola,MPLA,31,8.953,2,1
1983,Africa,Angola,MPLA,35,9.278,2,1
1984,Africa,Angola,MPLA,NA,9.615,2,1
1985,Africa,Angola,MPLA,NA,9.962,2,1
1986,Africa,Angola,MPLA,NA,10.32,2,1
1987,Africa,Angola,MPLA,NA,10.689,2,1
1988,Africa,Angola,MPLA,45,11.068,2,1
1989,Africa,Angola,MPLA,55,11.455,2,1
1990,Africa,Angola,MPLA,65,11.848,2,1
1991,Africa,Angola,MPLA,150,12.249,2,1
1992,Africa,Angola,MPLA,545,12.657,2,1
1993,Africa,Angola,MPLA,NA,13.075,2,1
1994,Africa,Angola,MPLA,NA,13.504,2,1
1995,Africa,Angola,MPLA,NA,13.945,2,1
1996,Africa,Angola,MPLA,NA,14.401,2,1
1997,Africa,Angola,MPLA,NA,14.872,2,1
1998,Africa,Angola,MPLA,NA,15.36,2,1
1999,Africa,Angola,MPLA,NA,15.867,2,1
2000,Africa,Angola,MPLA,NA,16.395,2,1
2001,Africa,Angola,MPLA,NA,16.946,2,1
2002,Africa,Angola,MPLA,NA,17.519,2,1
2003,Africa,Angola,MPLA,NA,18.121,2,1
2004,Africa,Angola,MPLA,3900,18.758,2,1
2005,Africa,Angola,MPLA,NA,19.434,2,1
2006,Africa,Angola,MPLA,NA,20.15,2,1
2007,Africa,Angola,MPLA,NA,20.905,2,1
2008,Africa,Angola,MPLA,2700,21.696,2,1
2009,Africa,Angola,MPLA,NA,22.514,2,1
2010,Africa,Angola,MPLA,NA,23.356,2,1
2011,Africa,Angola,MPLA,NA,24.221,2,1
2012,Africa,Angola,MPLA,NA,25.108,2,1
2013,Africa,Angola,MPLA,NA,26.016,2,1
2014,Africa,Angola,MPLA,NA,26.942,2,1
2015,Africa,Angola,MPLA,NA,27.884,2,1
2016,Africa,Angola,MPLA,NA,28.842,2,1
2017,Africa,Angola,MPLA,NA,29.817,2,1
2018,Africa,Angola,MPLA,NA,30.81,2,1
2019,Africa,Angola,MPLA,NA,31.825,2,1
2020,Africa,Angola,MPLA,NA,NA,2,1
1968,MENA,Iraq,HAB,5,NA,0,0
1969,MENA,Iraq,HAB,6,9.586,0,0
1970,MENA,Iraq,HAB,7,9.918,0,0
1971,MENA,Iraq,HAB,8,10.256,0,0
1972,MENA,Iraq,HAB,9,10.6,0,0
1973,MENA,Iraq,HAB,300,10.951,0,0
1974,MENA,Iraq,HAB,452,11.312,0,0
1975,MENA,Iraq,HAB,562,11.685,0,0
1976,MENA,Iraq,HAB,672,12.069,0,0
1977,MENA,Iraq,HAB,782,12.462,0,0
1978,MENA,Iraq,HAB,890,12.861,0,0
1979,MENA,Iraq,HAB,1000,13.259,0,0
1980,MENA,Iraq,HAB,1254,13.653,0,0
1981,MENA,Iraq,HAB,1300,14.044,0,0
1982,MENA,Iraq,HAB,1400,14.432,0,0
1983,MENA,Iraq,HAB,1500,14.816,0,0
1984,MENA,Iraq,HAB,1550,15.19,0,0
1985,MENA,Iraq,HAB,1580,15.556,0,0
1986,MENA,Iraq,HAB,1637,15.91,0,0
1987,MENA,Iraq,HAB,1680,16.257,0,0
1988,MENA,Iraq,HAB,1700,16.612,0,0
1989,MENA,Iraq,HAB,1400,16.995,0,0
1990,MENA,Iraq,HAB,1300,17.419,0,0
1991,MENA,Iraq,HAB,1346,17.889,0,0
1992,MENA,Iraq,HAB,1392,18.403,0,0
1993,MENA,Iraq,HAB,1438,18.955,0,0
1994,MENA,Iraq,HAB,1484,19.539,0,0
1995,MENA,Iraq,HAB,1530,20.149,0,0
1996,MENA,Iraq,HAB,1576,20.783,0,0
1997,MENA,Iraq,HAB,NA,21.44,0,0
1998,MENA,Iraq,HAB,NA,22.114,0,0
1999,MENA,Iraq,HAB,NA,22.802,0,0
2000,MENA,Iraq,HAB,NA,23.498,0,0
2001,MENA,Iraq,HAB,NA,24.208,0,0
2002,MENA,Iraq,HAB,3972,24.932,0,0
2003,MENA,Iraq,HAB,2000,25.644,0,0
1963,MENA,Syria,Baath,0.5,1.948,1,0
1964,MENA,Syria,Baath,NA,2.046,1,0
1965,MENA,Syria,Baath,NA,2.15,1,0
1966,MENA,Syria,Baath,NA,2.258,1,0
1967,MENA,Syria,Baath,NA,2.373,1,0
1968,MENA,Syria,Baath,10,2.493,1,0
1969,MENA,Syria,Baath,22,2.62,1,0
1970,MENA,Syria,Baath,35,2.753,1,0
1971,MENA,Syria,Baath,65,2.875,1,0
1972,MENA,Syria,Baath,NA,2.997,1,0
1973,MENA,Syria,Baath,NA,3.125,1,0
1974,MENA,Syria,Baath,184,3.258,1,0
1975,MENA,Syria,Baath,190,3.396,1,0
1976,MENA,Syria,Baath,195,3.538,1,0
1977,MENA,Syria,Baath,200,3.685,1,0
1978,MENA,Syria,Baath,NA,3.839,1,0
1979,MENA,Syria,Baath,NA,4,1,0
1980,MENA,Syria,Baath,373,4.171,1,0
1981,MENA,Syria,Baath,375,4.352,1,0
1982,MENA,Syria,Baath,400,4.533,1,0
1983,MENA,Syria,Baath,470,4.719,1,0
1984,MENA,Syria,Baath,538,4.908,1,0
1985,MENA,Syria,Baath,500,5.1,1,0
1986,MENA,Syria,Baath,570,5.293,1,0
1987,MENA,Syria,Baath,640,5.488,1,0
1988,MENA,Syria,Baath,710,5.685,1,0
1989,MENA,Syria,Baath,798,5.886,1,0
1990,MENA,Syria,Baath,900,6.09,1,0
1991,MENA,Syria,Baath,1008,6.297,1,0
1992,MENA,Syria,Baath,950,6.507,1,0
1993,MENA,Syria,Baath,NA,6.722,1,0
1994,MENA,Syria,Baath,NA,6.942,1,0
1995,MENA,Syria,Baath,NA,7.188,1,0
1996,MENA,Syria,Baath,NA,7.447,1,0
1997,MENA,Syria,Baath,NA,7.716,1,0
1998,MENA,Syria,Baath,NA,7.99,1,0
1999,MENA,Syria,Baath,NA,8.261,1,0
2000,MENA,Syria,Baath,NA,8.525,1,0
2001,MENA,Syria,Baath,NA,8.771,1,0
2002,MENA,Syria,Baath,NA,9.002,1,0
2003,MENA,Syria,Baath,NA,9.239,1,0
2004,MENA,Syria,Baath,NA,9.512,1,0
2005,MENA,Syria,Baath,2400,9.839,1,0
2006,MENA,Syria,Baath,NA,10.242,1,0
2007,MENA,Syria,Baath,NA,10.702,1,0
2008,MENA,Syria,Baath,NA,11.154,1,0
2009,MENA,Syria,Baath,NA,11.503,1,0
2010,MENA,Syria,Baath,NA,11.686,1,0
2011,MENA,Syria,Baath,2000,11.388,1,0
1958,Asia,Singapore,PAP,4.8,1.507,2,0
1959,Asia,Singapore,PAP,5,1.572,2,0
1960,Asia,Singapore,PAP,8.2,1.646,2,0
1961,Asia,Singapore,PAP,1.6,1.702,2,0
1962,Asia,Singapore,PAP,2,1.75,2,0
1963,Asia,Singapore,PAP,NA,1.795,2,0
1964,Asia,Singapore,PAP,NA,1.842,2,0
1965,Asia,Singapore,PAP,NA,1.887,2,0
1966,Asia,Singapore,PAP,NA,1.934,2,0
1967,Asia,Singapore,PAP,NA,1.978,2,0
1968,Asia,Singapore,PAP,NA,2.012,2,0
1969,Asia,Singapore,PAP,15,2.042,2,0
1970,Asia,Singapore,PAP,15,2.074,2,0
1971,Asia,Singapore,PAP,15,2.113,2,0
1972,Asia,Singapore,PAP,NA,2.152,2,0
1973,Asia,Singapore,PAP,NA,2.193,2,0
1974,Asia,Singapore,PAP,NA,2.23,2,0
1975,Asia,Singapore,PAP,NA,2.263,2,0
1976,Asia,Singapore,PAP,NA,2.293,2,0
1977,Asia,Singapore,PAP,NA,2.325,2,0
1978,Asia,Singapore,PAP,NA,2.354,2,0
1979,Asia,Singapore,PAP,NA,2.383,2,0
1980,Asia,Singapore,PAP,NA,2.414,2,0
1981,Asia,Singapore,PAP,NA,2.533,2,0
1982,Asia,Singapore,PAP,NA,2.646,2,0
1983,Asia,Singapore,PAP,NA,2.681,2,0
1984,Asia,Singapore,PAP,NA,2.732,2,0
1985,Asia,Singapore,PAP,NA,2.736,2,0
1986,Asia,Singapore,PAP,NA,2.733,2,0
1987,Asia,Singapore,PAP,NA,2.775,2,0
1988,Asia,Singapore,PAP,NA,2.846,2,0
1989,Asia,Singapore,PAP,NA,2.931,2,0
1990,Asia,Singapore,PAP,NA,3.047,2,0
1991,Asia,Singapore,PAP,NA,3.135,2,0
1992,Asia,Singapore,PAP,NA,3.231,2,0
1993,Asia,Singapore,PAP,NA,3.313,2,0
1994,Asia,Singapore,PAP,NA,3.419,2,0
1995,Asia,Singapore,PAP,NA,3.524,2,0
1996,Asia,Singapore,PAP,NA,3.671,2,0
1997,Asia,Singapore,PAP,NA,3.796,2,0
1998,Asia,Singapore,PAP,13,3.927,2,0
1999,Asia,Singapore,PAP,14,3.959,2,0
2000,Asia,Singapore,PAP,15,4.028,2,0
2001,Asia,Singapore,PAP,16,4.138,2,0
2002,Asia,Singapore,PAP,17,4.176,2,0
2003,Asia,Singapore,PAP,18,4.115,2,0
2004,Asia,Singapore,PAP,17,4.167,2,0
2005,Asia,Singapore,PAP,16,4.266,2,0
2006,Asia,Singapore,PAP,15,4.401,2,0
2007,Asia,Singapore,PAP,NA,4.589,2,0
2008,Asia,Singapore,PAP,NA,4.839,2,0
2009,Asia,Singapore,PAP,NA,4.988,2,0
2010,Asia,Singapore,PAP,NA,5.077,2,0
2011,Asia,Singapore,PAP,NA,5.184,2,0
2012,Asia,Singapore,PAP,NA,5.312,2,0
2013,Asia,Singapore,PAP,15,5.399,2,0
2014,Asia,Singapore,PAP,NA,5.47,2,0
2015,Asia,Singapore,PAP,NA,5.535,2,0
2016,Asia,Singapore,PAP,NA,5.607,2,0
2017,Asia,Singapore,PAP,NA,5.612,2,0
2018,Asia,Singapore,PAP,NA,5.639,2,0
2019,Asia,Singapore,PAP,NA,5.704,2,0
2020,Asia,Singapore,PAP,NA,5.69,2,0
1991,Africa,Ethiopia,EPRFD,NA,49.61,2,0
1992,Africa,Ethiopia,EPRFD,NA,51.424,2,0
1993,Africa,Ethiopia,EPRFD,NA,53.296,2,0
1994,Africa,Ethiopia,EPRFD,NA,55.181,2,0
1995,Africa,Ethiopia,EPRFD,NA,57.048,2,0
1996,Africa,Ethiopia,EPRFD,NA,58.883,2,0
1997,Africa,Ethiopia,EPRFD,NA,60.697,2,0
1998,Africa,Ethiopia,EPRFD,NA,62.508,2,0
1999,Africa,Ethiopia,EPRFD,NA,64.343,2,0
2000,Africa,Ethiopia,EPRFD,NA,66.225,2,0
2001,Africa,Ethiopia,EPRFD,NA,68.159,2,0
2002,Africa,Ethiopia,EPRFD,NA,70.142,2,0
2003,Africa,Ethiopia,EPRFD,NA,72.171,2,0
2004,Africa,Ethiopia,EPRFD,760,74.239,2,0
2005,Africa,Ethiopia,EPRFD,NA,76.346,2,0
2006,Africa,Ethiopia,EPRFD,NA,78.489,2,0
2007,Africa,Ethiopia,EPRFD,NA,80.674,2,0
2008,Africa,Ethiopia,EPRFD,4000,82.916,2,0
2009,Africa,Ethiopia,EPRFD,5500,85.234,2,0
2010,Africa,Ethiopia,EPRFD,6000,87.64,2,0
2011,Africa,Ethiopia,EPRFD,6050,90.14,2,0
2012,Africa,Ethiopia,EPRFD,6100,92.727,2,0
2013,Africa,Ethiopia,EPRFD,6160,95.386,2,0
2014,Africa,Ethiopia,EPRFD,NA,98.094,2,0
2015,Africa,Ethiopia,EPRFD,NA,100.835,2,0
2016,Africa,Ethiopia,EPRFD,8000,103.603,2,0
2017,Africa,Ethiopia,EPRFD,NA,106.4,2,0
2018,Africa,Ethiopia,EPRFD,NA,109.225,2,0
2019,Africa,Ethiopia,EPRFD,8000,112.079,2,0
2003,Africa,Tanzania,CMM,2900,36.338,2,0
2004,Africa,Tanzania,CMM,NA,37.38,2,0
2005,Africa,Tanzania,CMM,NA,38.45,2,0
2006,Africa,Tanzania,CMM,NA,39.549,2,0
2007,Africa,Tanzania,CMM,3800,40.681,2,0
2008,Africa,Tanzania,CMM,NA,41.854,2,0
2009,Africa,Tanzania,CMM,NA,43.074,2,0
2010,Africa,Tanzania,CMM,NA,44.346,2,0
2011,Africa,Tanzania,CMM,NA,45.673,2,0
2012,Africa,Tanzania,CMM,NA,47.052,2,0
2013,Africa,Tanzania,CMM,8000,48.482,2,0
2014,Africa,Tanzania,CMM,NA,49.96,2,0
2015,Africa,Tanzania,CMM,NA,51.483,2,0
2016,Africa,Tanzania,CMM,NA,53.051,2,0
2017,Africa,Tanzania,CMM,NA,54.664,2,0
2018,Africa,Tanzania,CMM,NA,56.318,2,0
2019,Africa,Tanzania,CMM,NA,58.005,2,0
2020,Africa,Tanzania,CMM,15000,59.734,2,0
1945,Asia,Uzbekistan,UZCP,NA,5.2661,1,1
1946,Asia,Uzbekistan,UZCP,NA,5.4662,1,1
1947,Asia,Uzbekistan,UZCP,123,5.6663,1,1
1948,Asia,Uzbekistan,UZCP,NA,5.8664,1,1
1949,Asia,Uzbekistan,UZCP,NA,6.0665,1,1
1950,Asia,Uzbekistan,UZCP,NA,6.264,1,1
1951,Asia,Uzbekistan,UZCP,NA,6.47,1,1
1952,Asia,Uzbekistan,UZCP,NA,6.668,1,1
1953,Asia,Uzbekistan,UZCP,NA,6.865,1,1
